id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,id,operating_activity,investing_activity,financing_activity,net_cash_flow,net_profit_margin,debt_equity,free_cash_flow
61,ABB,Dec 2012,1653,1451,202.0,12.0,33,0,19,215,33.0,145,68.0,25.0,136.0,21.0,626.0,0.0,260.0,907.0,109.0,1.0,0.0,798.0,907.0,61.0,101.0,-59.0,-42.0,1.0,8.771929824561402,0.0,42.0
62,ABB,Mar 2014,2276,2009,267.0,12.0,49,0,22,295,33.0,198,93.0,25.0,137.0,21.0,767.0,0.0,351.0,1139.0,98.0,1.0,0.0,1040.0,1139.0,62.0,155.0,-144.0,-42.0,-31.0,8.699472759226714,0.0,11.0
62,ABB,Mar 2014,2276,2009,267.0,12.0,49,0,22,295,33.0,198,93.0,25.0,137.0,21.0,767.0,0.0,351.0,1139.0,98.0,1.0,0.0,1040.0,1139.0,73.0,0.0,0.0,0.0,0.0,8.699472759226714,0.0,0.0
63,ABB,Mar 2015,2289,1977,312.0,14.0,48,0,15,344,34.0,229,108.0,29.0,138.0,21.0,916.0,0.0,436.0,1374.0,96.0,4.0,0.0,1274.0,1374.0,63.0,215.0,-187.0,-58.0,-30.0,10.00436871996505,0.0,28.0
63,ABB,Mar 2015,2289,1977,312.0,14.0,48,0,15,344,34.0,229,108.0,29.0,138.0,21.0,916.0,0.0,436.0,1374.0,96.0,4.0,0.0,1274.0,1374.0,74.0,-35.0,-1864.0,1902.0,3.0,10.00436871996505,0.0,-1899.0
64,ABB,Mar 2016,2614,2250,365.0,14.0,50,3,14,398,36.0,255,120.0,29.0,139.0,21.0,1174.0,0.0,421.0,1616.0,108.0,3.0,0.0,1505.0,1616.0,64.0,249.0,-77.0,-80.0,91.0,9.755164498852334,0.0,172.0
64,ABB,Mar 2016,2614,2250,365.0,14.0,50,3,14,398,36.0,255,120.0,29.0,139.0,21.0,1174.0,0.0,421.0,1616.0,108.0,3.0,0.0,1505.0,1616.0,75.0,1544.0,-816.0,-722.0,6.0,9.755164498852334,0.0,728.0
65,ABB,Mar 2017,2903,2505,398.0,14.0,57,2,16,436,37.0,277,130.0,31.0,140.0,21.0,1366.0,0.0,679.0,2066.0,110.0,6.0,0.0,1950.0,2066.0,65.0,307.0,-155.0,-90.0,62.0,9.541853255253187,0.0,152.0
65,ABB,Mar 2017,2903,2505,398.0,14.0,57,2,16,436,37.0,277,130.0,31.0,140.0,21.0,1366.0,0.0,679.0,2066.0,110.0,6.0,0.0,1950.0,2066.0,76.0,2189.0,-1730.0,-455.0,4.0,9.541853255253187,0.0,459.0
66,ABB,Mar 2018,3298,2774,525.0,16.0,117,4,16,621,35.0,401,189.0,29.0,141.0,21.0,1672.0,0.0,723.0,2416.0,81.0,2.0,0.0,2333.0,2416.0,66.0,153.0,-215.0,-102.0,-165.0,12.15888417222559,0.0,-62.0
66,ABB,Mar 2018,3298,2774,525.0,16.0,117,4,16,621,35.0,401,189.0,29.0,141.0,21.0,1672.0,0.0,723.0,2416.0,81.0,2.0,0.0,2333.0,2416.0,77.0,2198.0,-3192.0,1589.0,596.0,12.15888417222559,0.0,-994.0
67,ABB,Mar 2019,3679,3074,605.0,16.0,113,2,17,699,36.0,450,212.0,31.0,142.0,21.0,1987.0,0.0,932.0,2941.0,105.0,1.0,0.0,2835.0,2941.0,67.0,499.0,-257.0,-143.0,99.0,12.23158466974721,0.0,242.0
67,ABB,Mar 2019,3679,3074,605.0,16.0,113,2,17,699,36.0,450,212.0,31.0,142.0,21.0,1987.0,0.0,932.0,2941.0,105.0,1.0,0.0,2835.0,2941.0,78.0,2591.0,-3050.0,38.0,-421.0,12.23158466974721,0.0,-459.0
68,ABB,Mar 2020,4093,3336,757.0,18.0,114,9,60,803,26.0,593,279.0,90.0,143.0,21.0,2410.0,175.0,940.0,3547.0,270.0,2.0,0.0,3275.0,3547.0,68.0,626.0,-401.0,-217.0,8.0,14.48815050085512,0.07198683669271905,225.0
68,ABB,Mar 2020,4093,3336,757.0,18.0,114,9,60,803,26.0,593,279.0,90.0,143.0,21.0,2410.0,175.0,940.0,3547.0,270.0,2.0,0.0,3275.0,3547.0,79.0,5437.0,-5643.0,1250.0,1045.0,14.48815050085512,0.07198683669271905,-206.0
69,ABB,Mar 2021,4310,3388,922.0,21.0,81,18,58,926,25.0,691,325.0,85.0,144.0,21.0,2581.0,153.0,1086.0,3840.0,251.0,1.0,0.0,3589.0,3840.0,69.0,727.0,-72.0,-582.0,73.0,16.03248259860789,0.05880092236740968,655.0
69,ABB,Mar 2021,4310,3388,922.0,21.0,81,18,58,926,25.0,691,325.0,85.0,144.0,21.0,2581.0,153.0,1086.0,3840.0,251.0,1.0,0.0,3589.0,3840.0,80.0,3784.0,-4009.0,-745.0,-969.0,16.03248259860789,0.05880092236740968,-225.0
70,ABB,Mar 2022,4913,3832,1082.0,22.0,83,19,66,1080,26.0,799,376.0,73.0,145.0,21.0,2799.0,152.0,1253.0,4224.0,271.0,1.0,0.0,3952.0,4224.0,70.0,948.0,-396.0,-637.0,-86.0,16.26297577854671,0.05390070921985816,552.0
70,ABB,Mar 2022,4913,3832,1082.0,22.0,83,19,66,1080,26.0,799,376.0,73.0,145.0,21.0,2799.0,152.0,1253.0,4224.0,271.0,1.0,0.0,3952.0,4224.0,81.0,4097.0,-3936.0,-235.0,-75.0,16.26297577854671,0.05390070921985816,161.0
71,ABB,Mar 2023,5349,4143,1206.0,23.0,154,16,70,1274,25.0,949,447.0,73.0,146.0,21.0,3167.0,113.0,1254.0,4556.0,237.0,4.0,0.0,4315.0,4556.0,71.0,893.0,-148.0,-639.0,107.0,17.74163395027108,0.03544542032622334,745.0
71,ABB,Mar 2023,5349,4143,1206.0,23.0,154,16,70,1274,25.0,949,447.0,73.0,146.0,21.0,3167.0,113.0,1254.0,4556.0,237.0,4.0,0.0,4315.0,4556.0,82.0,3777.0,-4699.0,923.0,2.0,17.74163395027108,0.03544542032622334,-922.0
72,ABB,Mar 2024,5849,4396,1453.0,25.0,248,12,71,1618,26.0,1201,565.0,73.0,147.0,21.0,3678.0,83.0,1411.0,5193.0,225.0,10.0,0.0,4958.0,5193.0,72.0,1213.0,-416.0,-745.0,52.0,20.53342451701145,0.02243849689105163,797.0
72,ABB,Mar 2024,5849,4396,1453.0,25.0,248,12,71,1618,26.0,1201,565.0,73.0,147.0,21.0,3678.0,83.0,1411.0,5193.0,225.0,10.0,0.0,4958.0,5193.0,83.0,6038.0,-4943.0,-543.0,551.0,20.53342451701145,0.02243849689105163,1095.0
73,ABB,TTM,6066,4519,1547.0,26.0,265,11,72,1728,,1285,605.0,,,,,,,,,,,,,,,,,,21.18364655456643,,
86,ADANIENSOL,Mar 2014,0,0,0.0,,0,0,0,0,0.0,0,0.0,,149.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,,0.0,0.0
87,ADANIENSOL,Mar 2015,131,29,101.0,78.0,3,73,37,-5,34.0,-7,0.0,0.0,150.0,1090.0,-7.0,9701.0,708.0,11492.0,10573.0,10.0,0.0,909.0,11492.0,85.0,-35.0,-1864.0,1902.0,3.0,-5.343511450381679,8.95752539242844,-1899.0
88,ADANIENSOL,Mar 2016,2194,267,1927.0,88.0,70,957,560,480,23.0,368,3.0,0.0,151.0,1100.0,1572.0,8585.0,489.0,11746.0,10060.0,258.0,20.0,1407.0,11746.0,86.0,1544.0,-816.0,-722.0,6.0,16.77301731996354,3.212949101796407,728.0
89,ADANIENSOL,Mar 2017,2876,893,1983.0,69.0,22,904,569,532,22.0,416,4.0,0.0,152.0,1100.0,1847.0,8975.0,890.0,12811.0,9853.0,1343.0,105.0,1510.0,12811.0,87.0,2189.0,-1730.0,-455.0,4.0,14.46453407510431,3.045469969460468,459.0
90,ADANIENSOL,Mar 2018,3944,1118,2826.0,72.0,111,886,579,1472,22.0,1143,10.0,0.0,153.0,1100.0,4957.0,10428.0,781.0,17265.0,9291.0,2353.0,0.0,5621.0,17265.0,88.0,2198.0,-3192.0,1589.0,596.0,28.98073022312373,1.721644378405151,-994.0
91,ADANIENSOL,Mar 2019,7305,4528,2778.0,38.0,336,1391,882,840,33.0,559,5.0,0.0,154.0,1100.0,6943.0,20137.0,4379.0,32558.0,24412.0,694.0,336.0,7117.0,32558.0,89.0,2591.0,-3050.0,38.0,-421.0,7.652292950034223,2.50366778565212,-459.0
92,ADANIENSOL,Mar 2020,11416,7158,4258.0,37.0,261,2238,1174,1107,36.0,706,7.0,0.0,155.0,1100.0,7399.0,24246.0,6966.0,39711.0,24924.0,2212.0,313.0,12262.0,39711.0,90.0,5437.0,-5643.0,1250.0,1045.0,6.184302733006307,2.852806212495588,-206.0
93,ADANIENSOL,Mar 2021,9926,5976,3950.0,40.0,1115,2117,1329,1620,20.0,1290,11.0,0.0,156.0,1100.0,7819.0,27095.0,7219.0,43234.0,26987.0,5255.0,442.0,10550.0,43234.0,91.0,3784.0,-4009.0,-745.0,-969.0,12.99617167036067,3.037896625182195,-225.0
94,ADANIENSOL,Mar 2022,11258,7051,4206.0,37.0,1286,2365,1427,1700,27.0,1236,11.0,0.0,157.0,1100.0,8813.0,29902.0,7650.0,47464.0,30272.0,5060.0,561.0,11572.0,47464.0,92.0,4097.0,-3936.0,-235.0,-75.0,10.97885947770474,3.016443054574801,161.0
95,ADANIENSOL,Mar 2023,13293,8775,4518.0,34.0,1583,2781,1608,1712,25.0,1281,11.0,0.0,158.0,1115.0,10634.0,34270.0,7913.0,53932.0,32645.0,6200.0,1370.0,13716.0,53932.0,93.0,3777.0,-4699.0,923.0,2.0,9.636650868878357,2.916843986722274,-922.0
96,ADANIENSOL,Mar 2024,16607,10896,5711.0,30.0,611,2767,1776,1780,33.0,1196,10.0,0.0,159.0,1115.0,11526.0,37070.0,8827.0,58538.0,38920.0,3003.0,766.0,15849.0,58538.0,94.0,6038.0,-4943.0,-543.0,551.0,7.201782380923707,2.93252116130053,1095.0
97,ADANIENSOL,TTM,22099,15507,6592.0,,-844,3183,1912,653,,589,6.0,,,,,,,,,,,,,,,,,,2.665278971899181,,
98,ADANIENT,Mar 2013,46375,40354,6021.0,13.0,1775,3492,2298,2005,39.0,1218,15.0,10.0,170.0,110.0,21286.0,69332.0,21143.0,111871.0,48770.0,29248.0,323.0,33529.0,111871.0,95.0,7666.0,-14790.0,7199.0,75.0,2.626415094339623,3.240418769863526,-7124.0
99,ADANIENT,Mar 2014,54947,45564,9383.0,17.0,1157,5703,3223,1614,-64.0,2646,20.0,7.0,171.0,110.0,23647.0,71980.0,22365.0,118102.0,70579.0,13574.0,288.0,33661.0,118102.0,96.0,8228.0,-8007.0,-1109.0,-888.0,4.815549529546654,3.029843835501115,221.0
100,ADANIENT,Mar 2015,64465,52015,12450.0,19.0,792,7056,3522,2663,14.0,2298,18.0,8.0,172.0,110.0,25618.0,83571.0,21420.0,130718.0,83834.0,6733.0,744.0,39407.0,130718.0,97.0,8532.0,-11465.0,3445.0,512.0,3.564725044597844,3.248250932835821,-2933.0
101,ADANIENT,Mar 2016,34008,32325,1684.0,5.0,1044,1357,314,1056,7.0,1000,9.0,4.0,173.0,110.0,13268.0,19169.0,9132.0,41679.0,10473.0,7705.0,805.0,22696.0,41679.0,98.0,5112.0,-1825.0,-3448.0,-161.0,2.940484591860739,1.432874869188219,3287.0
102,ADANIENT,Mar 2017,36533,34631,1902.0,5.0,749,1257,315,1079,25.0,925,9.0,4.0,174.0,110.0,14026.0,20846.0,12630.0,47611.0,13668.0,7731.0,1042.0,25170.0,47611.0,99.0,774.0,-1460.0,716.0,30.0,2.531957408370515,1.474674589700057,-686.0
103,ADANIENT,Mar 2018,35924,33886,2038.0,6.0,363,1250,664,487,23.0,594,7.0,6.0,175.0,110.0,14979.0,17637.0,23679.0,56405.0,10555.0,5526.0,1461.0,38864.0,56405.0,100.0,2942.0,-7649.0,5120.0,413.0,1.653490702594366,1.168864735900325,-4707.0
